Entidad federativa,Año,Trimestre,PEA,PD
Jalisco,2018,4,3797311,96824
M�xico,2018,4,7924199,304645
Michoac�n de Ocampo,2018,4,2014164,49490
Morelos,2018,4,838342,17618
Nayarit,2018,4,620909,22171
Nuevo Le�n,2018,4,2508932,88389
Oaxaca,2018,4,1766964,35018
Puebla,2018,4,2849781,71782
Quer�taro,2018,4,861125,31870
Quintana Roo,2018,4,872731,26671
San Luis Potos�,2018,4,1221282,26105
Sinaloa,2018,4,1389771,43261
Sonora,2018,4,1464617,53013
Tabasco,2018,4,1019337,80052
Tamaulipas,2018,4,1697868,65144
Tlaxcala,2018,4,603336,24269
Veracruz de Ignacio de la Llave,2018,4,3330020,91111
Yucat�n,2018,4,1100165,16052
Zacatecas,2018,4,661187,16194
